service_id,date,exception_type
B92352K1HCMAA-051,20200514,1
B92352K1HCMAA-051,20200518,1
B92352K1HCMAA-051,20200519,1
B92352K1HCMAA-051,20200520,1
B92352K1HCMAA-051,20200521,1
B92352K1HCMAA-051,20200525,1
B92352K1HCMAA-051,20200526,1
B92352K1HCMAA-051,20200527,1
B92352K1HCMAA-051,20200528,1
B92452AHPKM-0071,20200422,1
B92452AHPKM-0071,20200423,1
B92452AHPKM-0071,20200424,1
B92452AHPKM-0071,20200427,1
B92452AHPKM-0071,20200428,1
B92452AHPKM-0071,20200429,1
B92452AHPKM-0071,20200430,1
B92452AHPKM-0071,20200504,1
B92452AHPKM-0071,20200505,1
B92452AHPKM-0071,20200506,1
B92452AHPKM-0071,20200507,1
B92452AHPKM-0071,20200508,1
B92452AHPKM-0071,20200511,1
B92452AHPKM-0071,20200512,1
B92452AHPKM-0071,20200513,1
B92452AHPKM-0071,20200514,1
B92452AHPKM-0071,20200515,1
B92452AHPKM-0071,20200518,1
B92452AHPKM-0071,20200519,1
B92452AHPKM-0071,20200520,1
B92452AHPKM-0071,20200521,1
B92452AHPKM-0071,20200522,1
B92452AHPKM-0071,20200525,1
B92452AHPKM-0071,20200526,1
B92452AHPKM-0071,20200527,1
B92452AHPKM-0071,20200528,1
B92452AHPKM-0071,20200529,1
B92490AHPRG-0021,20200422,1
B92490AHPRG-0021,20200423,1
B92490AHPRG-0021,20200424,1
B92490AHPRG-0021,20200427,1
B92490AHPRG-0021,20200428,1
B92490AHPRG-0021,20200429,1
B92490AHPRG-0021,20200430,1
B92490AHPRG-0021,20200504,1
B92490AHPRG-0021,20200505,1
B92490AHPRG-0021,20200506,1
B92490AHPRG-0021,20200507,1
B92490AHPRG-0021,20200508,1
B92490AHPRG-0021,20200511,1
B92490AHPRG-0021,20200512,1
B92490AHPRG-0021,20200513,1
B92490AHPRG-0021,20200514,1
B92490AHPRG-0021,20200515,1
B92490AHPRG-0021,20200518,1
B92490AHPRG-0021,20200519,1
B92490AHPRG-0021,20200520,1
B92490AHPRG-0021,20200521,1
B92490AHPRG-0021,20200522,1
B92490AHPRG-0021,20200525,1
B92490AHPRG-0021,20200526,1
B92490AHPRG-0021,20200527,1
B92490AHPRG-0021,20200528,1
B92490AHPRG-0021,20200529,1
B92491ASZRG-0021,20200425,1
B92491ASZRG-0021,20200502,1
B92491ASZRG-0021,20200509,1
B92491ASZRG-0021,20200516,1
B92491ASZRG-0021,20200523,1
B92491ASZRG-0021,20200530,1
B92492AVVRG-0021,20200426,1
B92492AVVRG-0021,20200501,1
B92492AVVRG-0021,20200503,1
B92492AVVRG-0021,20200510,1
B92492AVVRG-0021,20200517,1
B92492AVVRG-0021,20200524,1
B92492AVVRG-0021,20200531,1
B92492AVVRG-0021,20200601,1
B92699ASZKM-0091,20200425,1
B92699ASZKM-0091,20200502,1
B92699ASZKM-0091,20200509,1
B92699ASZKM-0091,20200516,1
B92699ASZKM-0091,20200523,1
B92699ASZKM-0091,20200530,1
B92700AVVKM-0091,20200426,1
B92700AVVKM-0091,20200501,1
B92700AVVKM-0091,20200503,1
B92700AVVKM-0091,20200510,1
B92700AVVKM-0091,20200517,1
B92700AVVKM-0091,20200524,1
B92700AVVKM-0091,20200531,1
B92700AVVKM-0091,20200601,1
B92803ÜNVVRG-0021,20200501,1
B92803ÜNVVRG-0021,20200601,1
B92826K1HCKM-0061,20200422,1
B92826K1HCKM-0061,20200423,1
B92826K1HCKM-0061,20200427,1
B92826K1HCKM-0061,20200428,1
B92826K1HCKM-0061,20200429,1
B92826K1HCKM-0061,20200504,1
B92826K1HCKM-0061,20200505,1
B92826K1HCKM-0061,20200506,1
B92826K1HCKM-0061,20200507,1
B92826K1HCKM-0061,20200511,1
B92826K1HCKM-0061,20200512,1
B92826K1HCKM-0061,20200513,1
B92826K1HCKM-0061,20200514,1
B92826K1HCKM-0061,20200518,1
B92826K1HCKM-0061,20200519,1
B92826K1HCKM-0061,20200520,1
B92826K1HCKM-0061,20200521,1
B92826K1HCKM-0061,20200525,1
B92826K1HCKM-0061,20200526,1
B92826K1HCKM-0061,20200527,1
B92826K1HCKM-0061,20200528,1
B92830ASZKM-0051,20200425,1
B92844K1HCKM-0081,20200422,1
B92844K1HCKM-0081,20200423,1
B92844K1HCKM-0081,20200427,1
B92844K1HCKM-0081,20200428,1
B92844K1HCKM-0081,20200429,1
B92844K1HCKM-0081,20200504,1
B92844K1HCKM-0081,20200505,1
B92844K1HCKM-0081,20200506,1
B92844K1HCKM-0081,20200507,1
B92844K1HCKM-0081,20200511,1
B92844K1HCKM-0081,20200512,1
B92844K1HCKM-0081,20200513,1
B92844K1HCKM-0081,20200514,1
B92844K1HCKM-0081,20200518,1
B92844K1HCKM-0081,20200519,1
B92844K1HCKM-0081,20200520,1
B92844K1HCKM-0081,20200521,1
B92844K1HCKM-0081,20200525,1
B92844K1HCKM-0081,20200526,1
B92844K1HCKM-0081,20200527,1
B92844K1HCKM-0081,20200528,1
B92845K1PPKM-0081,20200424,1
B92845K1PPKM-0081,20200430,1
B92845K1PPKM-0081,20200508,1
B92845K1PPKM-0081,20200515,1
B92845K1PPKM-0081,20200522,1
B92845K1PPKM-0081,20200529,1
B92865K1PPKM-0061,20200424,1
B92865K1PPKM-0061,20200430,1
B92865K1PPKM-0061,20200508,1
B92865K1PPKM-0061,20200515,1
B92865K1PPKM-0061,20200522,1
B92865K1PPKM-0061,20200529,1
B93074AVVMAA-051,20200426,1
B93074AVVMAA-051,20200501,1
B93074AVVMAA-051,20200503,1
B93074AVVMAA-051,20200510,1
B93074AVVMAA-051,20200517,1
B93074AVVMAA-051,20200524,1
B93074AVVMAA-051,20200531,1
B93074AVVMAA-051,20200601,1
B93332ASZSzN-031,20200425,1
B93335ASZSzN-021,20200425,1
B93338AVVSzN-031,20200426,1
B93340AVVSzN-021,20200426,1
B93541K1HPSzN-021,20200422,1
B93541K1HPSzN-021,20200423,1
B93541K1HPSzN-021,20200424,1
B93541K1HPSzN-021,20200427,1
B93541K1HPSzN-021,20200428,1
B93541K1HPSzN-021,20200429,1
B93541K1HPSzN-021,20200430,1
B93921ASZKM-0031,20200425,1
B93921ASZKM-0031,20200502,1
B93921ASZKM-0031,20200509,1
B93921ASZKM-0031,20200516,1
B93921ASZKM-0031,20200523,1
B93921ASZKM-0031,20200530,1
B93922AVVKM-0031,20200426,1
B93922AVVKM-0031,20200501,1
B93922AVVKM-0031,20200503,1
B93922AVVKM-0031,20200510,1
B93922AVVKM-0031,20200517,1
B93922AVVKM-0031,20200524,1
B93922AVVKM-0031,20200531,1
B93922AVVKM-0031,20200601,1
B93930K1HPKM-0021,20200422,1
B93930K1HPKM-0021,20200423,1
B93930K1HPKM-0021,20200424,1
B93930K1HPKM-0021,20200427,1
B93930K1HPKM-0021,20200428,1
B93930K1HPKM-0021,20200429,1
B93930K1HPKM-0021,20200430,1
B93930K1HPKM-0021,20200504,1
B93930K1HPKM-0021,20200505,1
B93930K1HPKM-0021,20200506,1
B93930K1HPKM-0021,20200507,1
B93930K1HPKM-0021,20200508,1
B93930K1HPKM-0021,20200511,1
B93930K1HPKM-0021,20200512,1
B93930K1HPKM-0021,20200513,1
B93930K1HPKM-0021,20200514,1
B93930K1HPKM-0021,20200515,1
B93930K1HPKM-0021,20200518,1
B93930K1HPKM-0021,20200519,1
B93930K1HPKM-0021,20200520,1
B93930K1HPKM-0021,20200521,1
B93930K1HPKM-0021,20200522,1
B93930K1HPKM-0021,20200525,1
B93930K1HPKM-0021,20200526,1
B93930K1HPKM-0021,20200527,1
B93930K1HPKM-0021,20200528,1
B93930K1HPKM-0021,20200529,1
B93930K1HPKM-0031,20200422,1
B93930K1HPKM-0031,20200423,1
B93930K1HPKM-0031,20200424,1
