pathway_id,pathway_type,from_stop_id,to_stop_id,traversal_time,wheelchair_traversal_time
LM2ASB-LM2AS1,3,LM2ASB,LM2AS1,30,-1
LM2ASA-LM2AS1,3,LM2ASA,LM2AS1,30,-1
LM4MK1-056221,1,LM4MK1,056221,30,-1
LM3NYB-LM3NY2,3,LM3NYB,LM3NY2,30,-1
LM4MK1-056222,1,LM4MK1,056222,30,-1
LMXKPA-LM2KP1,3,LMXKPA,LM2KP1,60,-1
LM3NYB-LM3NY1,3,LM3NYB,LM3NY1,120,-1
LM2OVD-LM2OV1,3,LM2OVD,LM2OV1,0,-1
LM3AHC-LM3AH1,3,LM3AHC,LM3AH1,30,60
LM3AHC-LM3AH2,3,LM3AHC,LM3AH2,180,-1
056232-L056214,1,056232,L056214,30,60
LMXDFE-LM1DF3,3,LMXDFE,LM1DF3,60,-1
F02680-LM3DG1,1,F02680,LM3DG1,30,-1
LM3CNJ-LM3CN1,3,LM3CNJ,LM3CN1,60,-1
LM4MKC-LM4MK1,3,LM4MKC,LM4MK1,60,-1
LM4MKC-LM4MK2,3,LM4MKC,LM4MK2,120,-1
F02888-LM1MUM,1,F02888,LM1MUM,15,-1
LMXDFD-LM3DF1,3,LMXDFD,LM3DF1,60,-1
LMXKPK-LM4KP2,3,LMXKPK,LM4KP2,60,120
LMXKPK-LM4KP3,3,LMXKPK,LM4KP3,60,120
LM4KFB-LM4KF1,3,LM4KFB,LM4KF1,150,-1
LM3LEE-LM3LE1,3,LM3LEE,LM3LE1,30,-1
LM4KFB-LM4KF2,3,LM4KFB,LM4KF2,120,-1
LM4KFB-LM4KF3,3,LM4KFB,LM4KF3,90,-1
LM4KFB-LM4KF4,3,LM4KFB,LM4KF4,90,-1
LM4FT1-056225,1,LM4FT1,056225,60,-1
LM3NY2-LM3NYA,3,LM3NY2,LM3NYA,30,-1
LM4FT1-056226,1,LM4FT1,056226,60,-1
LM3NY2-LM3NYC,3,LM3NY2,LM3NYC,30,-1
LM3DGC-LM3DG1,3,LM3DGC,LM3DG1,30,-1
LM3NY2-LM3NYB,3,LM3NY2,LM3NYB,30,-1
LM3NY2-LM3NYE,3,LM3NY2,LM3NYE,90,-1
LMXKPF-LM4KP2,3,LMXKPF,LM4KP2,30,90
LM3NY2-LM3NYD,3,LM3NY2,LM3NYD,60,-1
LMXKPF-LM4KP3,3,LMXKPF,LM4KP3,30,90
LM2PF1-F01324,1,LM2PF1,F01324,30,-1
LM2PF1-F01325,1,LM2PF1,F01325,30,-1
F00958-LM2KL1,1,F00958,LM2KL1,30,-1
LM4KP3-LMXKPF,3,LM4KP3,LMXKPF,30,90
LM4KP3-LMXKPE,3,LM4KP3,LMXKPE,30,-1
LM4KP3-LMXKPD,3,LM4KP3,LMXKPD,30,-1
LM4KP3-LMXKPC,3,LM4KP3,LMXKPC,30,-1
LM4KP3-LMXKPJ,3,LM4KP3,LMXKPJ,30,-1
LM4KP3-LMXKPI,3,LM4KP3,LMXKPI,30,-1
LM4KP3-LMXKPH,3,LM4KP3,LMXKPH,30,-1
LM4KP3-LMXKPG,3,LM4KP3,LMXKPG,30,-1
056221-LM4MK2,1,056221,LM4MK2,30,-1
LM3NY2-LM3NYG,3,LM3NY2,LM3NYG,120,-1
056221-LM4MK1,1,056221,LM4MK1,30,-1
LM3NY2-LM3NYF,3,LM3NY2,LM3NYF,90,-1
LM3NY2-LM3NYI,3,LM3NY2,LM3NYI,120,-1
056221-LM4MK3,1,056221,LM4MK3,60,60
LM3NY2-LM3NYH,3,LM3NY2,LM3NYH,120,-1
LM3NY2-LM3NYK,3,LM3NY2,LM3NYK,150,-1
LM4KP3-LMXKPB,3,LM4KP3,LMXKPB,30,-1
LM3NY2-LM3NYJ,3,LM3NY2,LM3NYJ,150,-1
LM4KP3-LMXKPA,3,LM4KP3,LMXKPA,30,-1
LM3NY2-LM3NYM,3,LM3NY2,LM3NYM,150,-1
LM3NY2-LM3NYL,3,LM3NY2,LM3NYL,150,-1
L008186-F00913,1,L008186,F00913,30,60
LM2BLE-LM2BL1,3,LM2BLE,LM2BL1,30,-1
F00963-LM1DF3,1,F00963,LM1DF3,90,-1
F00963-LM1DF2,1,F00963,LM1DF2,30,-1
LM3CNE-LM3CN1,3,LM3CNE,LM3CN1,30,-1
LM4KF3-LM4KFC,3,LM4KF3,LM4KFC,90,-1
LM4KF3-LM4KFD,3,LM4KF3,LM4KFD,120,-1
LM4KF3-LM4KFA,3,LM4KF3,LM4KFA,90,120
LM4KF3-LM4KFB,3,LM4KF3,LM4KFB,90,-1
LM1DF3-F00962,1,LM1DF3,F00962,90,-1
LM1DF3-F00963,1,LM1DF3,F00963,90,-1
F01335-056234,2,F01335,056234,75,105
F00996-LM1BZV,1,F00996,LM1BZV,30,-1
LMXDFA-LM2DF1,3,LMXDFA,LM2DF1,60,-1
F00961-LM2DF1,1,F00961,LM2DF1,30,-1
LM4UK1-056219,1,LM4UK1,056219,60,90
F02613-LM3LE2,1,F02613,LM3LE2,30,-1
LM1VTV-F00964,1,LM1VTV,F00964,15,-1
F02613-LM3LE1,1,F02613,LM3LE1,30,-1
LM3NY1-LM3NYM,3,LM3NY1,LM3NYM,60,-1
LM2DF1-F00960,1,LM2DF1,F00960,30,-1
LM2DF1-F00961,1,LM2DF1,F00961,30,-1
LM2BLH-LM2BL1,3,LM2BLH,LM2BL1,30,-1
LM3NY1-LM3NYE,3,LM3NY1,LM3NYE,30,-1
LM3NY1-LM3NYF,3,LM3NY1,LM3NYF,30,-1
F00964-LM1VTV,1,F00964,LM1VTV,15,-1
LM1SFM-F02697,1,LM1SFM,F02697,30,-1
LM3NY1-LM3NYG,3,LM3NY1,LM3NYG,30,-1
F01290-LM3KV1,1,F01290,LM3KV1,60,-1
LM3NY1-LM3NYH,3,LM3NY1,LM3NYH,30,-1
LM3NY1-LM3NYI,3,LM3NY1,LM3NYI,30,-1
LM3NY1-LM3NYJ,3,LM3NY1,LM3NYJ,60,-1
F01335-056233,2,F01335,056233,75,105
LM3NY1-LM3NYK,3,LM3NY1,LM3NYK,60,-1
LM3NY1-LM3NYL,3,LM3NY1,LM3NYL,60,-1
F01335-LM2KP1,1,F01335,LM2KP1,30,-1
F00898-L008163,1,F00898,L008163,30,60
LM2KP1-LMXKPJ,3,LM2KP1,LMXKPJ,30,-1
LM2KP1-LMXKPI,3,LM2KP1,LMXKPI,30,-1
LM2KP1-LMXKPH,3,LM2KP1,LMXKPH,30,-1
LM2KP1-LMXKPG,3,LM2KP1,LMXKPG,30,-1
LM2KP1-LMXKPF,3,LM2KP1,LMXKPF,0,60
LM2KP1-LMXKPE,3,LM2KP1,LMXKPE,60,-1
LM4MKH-LM4MK1,3,LM4MKH,LM4MK1,30,-1
LM2KP1-LMXKPD,3,LM2KP1,LMXKPD,60,-1
LM4MKH-LM4MK2,3,LM4MKH,LM4MK2,90,-1
LM2BLD-LM2BL1,3,LM2BLD,LM2BL1,30,-1
LM2KP1-LMXKPC,3,LM2KP1,LMXKPC,60,-1
LM2KP1-LMXKPB,3,LM2KP1,LMXKPB,60,-1
LM2KP1-LMXKPA,3,LM2KP1,LMXKPA,60,-1
F00093-LM2DP1,1,F00093,LM2DP1,60,-1
LM4KV1-LM4KVG,3,LM4KV1,LM4KVG,90,-1
LM4KV1-LM4KVF,3,LM4KV1,LM4KVF,90,-1
LM4KV1-LM4KVE,3,LM4KV1,LM4KVE,60,-1
